Factor,F1-FN,IC,IC.T-Stat,IC.Dev,1,2,3,4,5,6,7,8,9,10,NA
"AVG(ROW6,ROW7,ROW8,ROW15,ROW21,ROW30,ROW36)",0.92880,0.08315,2.88350,0.12153,1.87341,0.53559,-0.01760,-0.51469,-1.63295,-1.32359,-1.06555,-1.54440,-1.88827,-0.18031,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW30)",0.92118,0.07628,2.63815,0.11949,1.70821,1.03915,-0.18392,-0.76801,-1.08346,-1.97168,-1.22611,-1.76310,-1.21539,-0.19800,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW26,ROW36)",2.39670,0.08861,3.01773,0.08724,3.08000,0.48154,0.14194,-0.65915,-1.58023,-1.51728,-1.64191,-1.37755,-1.82730,-0.05665,-5.10335
"AVG(ROW6,ROW7,ROW8,ROW15,ROW24,ROW30,ROW36)",0.30839,0.08135,2.82794,0.13178,1.80079,0.80946,-0.34969,-0.67561,-1.52298,-1.45702,-1.69015,-1.92129,-1.14739,0.28893,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW26,ROW30,ROW36)",0.35527,0.07755,2.69012,0.12749,1.69495,0.98106,-0.61974,-0.81128,-0.95627,-1.67606,-1.87610,-1.37979,-1.26427,0.13785,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW21)",4.05926,0.09020,3.04855,0.05884,2.89907,0.35674,0.24951,0.03347,-0.69402,-0.45851,-1.29650,-1.70619,-2.26463,-1.44494,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW24)",4.08360,0.09060,3.05749,0.05994,3.06090,0.51610,0.11632,-0.32219,-0.62342,-1.25387,-0.88101,-1.73131,-2.03352,-1.31365,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW26)",3.94812,0.08721,2.94050,0.05829,3.35652,0.44823,0.05294,-0.46051,-0.58324,-1.19902,-1.34815,-1.41220,-2.35978,-0.94628,-5.81850
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW30)",2.86796,0.08710,2.99289,0.08964,2.50439,0.33018,-0.05773,-0.39534,-0.99020,-1.41053,-1.05100,-1.90539,-1.56439,-0.98272,#N/A
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW9,ROW36)",2.85368,0.09157,3.11701,0.06989,2.99806,0.76358,0.07366,-0.66275,-1.38735,-1.26571,-1.05393,-1.73055,-2.24005,-0.37239,-8.46819
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW24)",3.48538,0.09294,3.14257,0.06191,2.30437,1.43452,-0.00900,0.14842,-0.79039,-0.91330,-0.99158,-1.46424,-2.59955,-1.48257,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW26)",4.18650,0.09043,3.05422,0.05788,3.04311,0.43425,0.56446,-0.44883,-0.79816,-0.32196,-1.78288,-1.45126,-2.17732,-1.43222,-7.15361
"AVG(ROW6,ROW7,ROW8,ROW15,ROW12,ROW18,ROW21,ROW30)",2.67961,0.09075,3.12035,0.08868,2.33902,0.45930,0.64842,-1.06218,-0.62856,-0.84149,-1.41515,-1.98017,-2.05667,-1.00879,#N/A
